sad,angry,plant
Thank you for existing,Mating with you would be a smart evolutionary play,Amaryllis
"When we’re together, everything seems possible",Some people are radiators—they make you feel warm when you’re around them,African Violet
Is there a day you haven’t made better?,I’ve never met anyone as caring as you,Angel Wing Begonia
Thank you,No one else can make me laugh like you do,Barberton Daisy
You inspire me to be a better person,You have such a good heart,Beach Spider Lily
You’re the kind of person who could make even Kanye smile,"Around you, I’m the best possible version of myself",Belladonna Lily
You give me the kind of advice I always need to hear (even if I don’t want to hear it),You are truly unforgettable,Bird of Paradise
You’re the only person I want to come back to when it feels like the rest of the world has become too much,You are way too smart for me,Blushing Bromeliad
You’ve shown me how to be kinder person,You make monogamy seem easy,Busy Lizzie
You’re my favorite person to talk to,Knowing you makes me a happier person,Calla Lily
The way you live your life challenges me and has helped me grow,You make me feel whole,Aluminum Plant
You’re really good at all the things you do,I had no idea what life could be until we met,Areca Plant
I can’t do life without you,Please never stop being you,Arrowhead
"If you died or something happened to you, I would delete your browser history for you",You make me want to be a better person,Bird's Nest Fern
You’re really fun to be around,Your energy is infectious,Boston Fern
I think you’d make a really great parent someday,You have beautiful eyes,Broadlead Lady Palm
Your existence has made my life infinitely better since knowing you,I never saw the point of taking pictures until I met you,Canary Date Palm
I love how precious and child-like you can be sometimes,I think you’re the only person I could ever talk about this with openly,Cast Iron Plant
You’ve shown me what unconditional love feels like,"Whenever I have a tough day, I remember you and it gives me strength and hope",Chinese Everygreen
You’re accomplishing so much,You are beautiful inside and out,Coral Bead
I don’t want to be anywhere you can’t be,You’re the light of my life,Aloe Vera
You’re my constant reminder that people can be good,You are so special to me,Argymoderma testiculare
There’s a softness behind your eyes,I didn’t know what true love was before you,Baby Rubber Plant
Your laugh is my favorite sound,I can’t stop thinking about you,Bunny Ear Cactus
The world would be so boring without you,"I find myself smiling so much more, now that we’re together",Century Plant
Are you for real?,You make me believe in goodness,Christmas Cactus
How did I get so lucky?,Your touch is so healing,Christmas Cheer
You make the little things feel big,Your very presence is reassuring,Coral Cactus
You make me see the world in a way no one else ever has,You are a life elixir,Donkey's Tail
Loving you feels like the most natural thing,Things shift when you enter the room,Easter Cactus
You impress me every single day,"When I see you, everything else within the frame falls away",Housetree Leek
Your capacity for kindness is boundless,"When you’re around, I don’t need anything else",Flaming Katy
"When we’re together, the rest of the world melts away",You make me forget the bad parts of my day,Goat's Horn Cactus
I wish I were half the human you are,"Within seconds of talking to you, I feel better",Fgolden Barrel Cactus
I didn’t know what love was until I met you,I love you so much it hurts,Jade Plant
I didn’t know how important friendship was until we met,"With you, I’m at peace",Jelly Beans
It would be torture to lose you,You are light,Lithops fulleri
My life before you was utter dullness,You have such a generous spirt,Lithops optica rubra
There’s no one like you,How did you learn to be so good?,Mother in Laws Tongue
I love the way you make me think,Your heart must be ten times the average size,Mother of Thousands
Hugging you is the only comfort I need,It’s as if you never learned to be bitter,Coral Berry
You’re not as dumb as you let people think you are,I want to grow into a person like you,Cyclamen Persicum
You’re an amazing mother,I want to grow up to be just like you,Corsage Orchid
You’re beautiful,I’ve never met a person quite like you,Eternal Flame
Your soul is gorgeous,Your parents must be so proud,False Shamrock
I love your brain,You are my world,Flamingo Flower Plant
I love how weird you are,There should be a monument of you,Falming Sword
You’re more of a superhero than any Marvel character out there,I will never forget the way you make me feel,Flowring Maple Plant
You inspire me,I can’t quite fathom a world with you,Kaffir Lily Plant
You are so strong,You are awesomeness personified,Lollipop Plant
I appreciate the way you challenge me,There’s nothing I’d rather do than spend time with you,Lycaste Orchid
[prolonged pause] Sorry you’d think I’d never seen a woman before,The very thought of you makes me feel warm and fuzzy,Medusa's Head
Your voice soothes me,You changed everything for me,Madagascar Jasmine
Your existence makes me feel better about life,I don’t know what I’d do without you,Peace Lily
The very idea of you makes me smile inside,I’ve never met a person as incredible as you are,Poison Primrose
